date,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season,no_of_passengers,no_of_adults,no_of_children,total_fare_collected,no_of_full_fare_tickets,no_of_C/P_tickets,no_of_buses,no_of_trips,no_of_MHL_passengers,no_of_city_ordinary_bus,no_of_metro_express_bus,no_of_pallevelug_bus,no_of_other_bus,no_of_metro_delux_bus,no_of_express_bus
2022-04-01,4,0,0,0,0.0267456139761533,36.8221167496219,23.9415754108628,1,5354,5289,65,80705,4132,1222,18,81,0,13,5,0,0,0,0
2022-04-02,5,2,1,2,0.0243031375937401,36.3461107537149,23.7858456575484,1,4051,3992,59,67375,3196,855,15,60,0,10,5,0,0,0,0
2022-04-03,6,0,2,2,0.022252491872801,36.4179081708028,23.5010937529841,1,4090,4011,79,70395,3326,764,18,71,0,11,7,0,0,0,0
2022-04-04,0,0,3,0,0.10619272067564,36.0074257271746,24.1107211555363,1,5954,5871,83,98390,4924,1030,20,85,0,14,6,0,0,0,0
2022-04-05,1,2,4,2,0.0304662234306094,35.5358660228428,23.6477212413353,1,6068,6006,62,95535,4913,1155,22,92,0,15,7,0,0,0,0
2022-04-06,2,0,5,1,0.760713136135634,35.9363327822404,23.2327602708888,1,4668,4621,47,78055,3903,765,18,77,0,11,7,0,0,0,0
2022-04-07,3,0,6,1,0.183037902380925,36.1971899396247,23.941473442609,1,4792,4752,40,80055,4137,655,19,81,0,12,7,0,0,0,0
2022-04-08,4,0,7,1,0.0147019914493224,36.2406890512319,23.4426235893056,1,4994,4956,38,75730,3815,1179,18,78,0,11,7,0,0,0,0
2022-04-09,5,0,8,2,0.0384760381040104,35.8585428196402,23.371671063055,1,5636,5545,91,92810,4083,1553,19,81,0,12,7,0,0,0,0
2022-04-10,6,2,9,1,0.0058773192342823,35.8429202998734,24.0519158456588,1,3661,3593,68,70180,2792,869,15,68,0,10,5,0,0,0,0
2022-04-11,0,0,10,1,0.0161117213490622,36.0322824205162,23.8223258561617,1,6114,6028,86,115120,4701,1413,21,90,0,14,7,0,0,0,0
2022-04-12,1,0,11,1,0.0358484734711748,36.3571183760661,23.7920528328048,1,4562,4514,48,101900,3812,750,19,78,0,11,8,0,0,0,0
2022-04-13,2,0,12,1,0.0143871112207084,36.4079824196096,23.512140286154,1,4192,4139,53,89510,3606,586,16,72,0,9,7,0,0,0,0
2022-04-14,3,3,13,1,0.0005162943767319,36.4053787846883,23.9985323447027,1,4728,4673,55,92835,3697,1031,17,73,0,12,5,0,0,0,0
2022-04-15,4,3,14,1,11.513248243882,37.2634493164934,25.6651584966336,1,4919,4661,258,92864,3699,1218,15,70,0,10,5,0,0,0,0
2022-04-16,5,3,15,1,11.7758863283966,37.0922927678888,26.4326686174845,1,5263,5195,68,106020,4220,1043,20,92,0,13,7,0,0,0,0
2022-04-17,6,3,16,1,15.5629221455207,36.9929853106561,25.7066537590641,1,3925,3838,87,81840,3195,730,15,68,0,11,4,0,0,0,0
2022-04-18,0,0,17,1,1.33372247323356,37.3890557774485,25.0935978426331,1,6590,6467,123,120925,4862,1728,20,93,0,13,7,0,0,0,0
2022-04-19,1,0,18,2,0.0609800266840975,38.0606528283727,25.3221181483129,1,5306,5247,59,104930,4281,1025,19,92,0,12,7,0,0,0,0
2022-04-20,2,0,19,2,0.0099551131154908,39.0320956385097,26.0496040825865,1,4791,4733,58,90515,3699,1092,14,68,0,9,5,0,0,0,0
2022-04-21,3,0,20,2,1.13053275520571,37.8440067167463,25.6010952045414,1,5563,5380,183,102655,4196,1367,16,81,0,11,5,0,0,0,0
2022-04-22,4,3,21,2,9.86671540083186,35.9291802725433,25.3132132271579,1,6111,6033,78,108165,4430,1681,17,85,0,10,7,0,0,0,0
2022-04-23,5,3,22,2,12.7364324563473,36.2347395577247,25.3443185660344,1,7203,6914,289,118115,4752,2451,17,91,0,11,6,0,0,0,0
2022-04-24,6,3,23,2,3.77840064922281,36.9926455078739,25.6252725581102,1,4911,4798,113,101105,3941,970,15,77,0,10,5,0,0,0,0
2022-04-25,0,0,24,2,0.497204163308021,38.2576995123066,25.904897665568,1,6717,6602,115,122210,4887,1830,19,95,0,12,7,0,0,0,0
2022-04-26,1,0,25,2,1.70063358058736,38.1915437833864,26.0577607970923,1,4243,4182,61,87519,3436,805,15,73,0,9,6,0,0,0,0
2022-04-27,2,0,26,2,0.588855631699253,38.5144924464814,26.5224761108075,1,3948,3870,78,80355,3186,762,16,69,0,9,7,0,0,0,0
2022-04-28,3,0,27,2,2.05247024179278,38.765181044899,26.7510204518696,1,4771,4674,97,92920,3726,1045,17,82,0,11,6,0,0,0,0
2022-04-29,4,3,28,2,0.272996373511417,40.1641753627327,26.4902990836031,1,5386,5337,49,103050,4013,1373,20,92,0,13,7,0,0,0,0
2022-04-30,5,3,29,2,0.0314586209042549,39.9528677809032,26.5337282140552,1,4995,4888,107,90760,3614,1381,17,82,0,11,6,0,0,0,0
2022-05-01,6,3,0,2,0.0178370304024053,39.9041752347246,26.5720054101516,1,3293,3214,79,74460,2847,446,11,58,0,8,3,0,0,0,0
2022-05-02,0,0,1,2,0.170503688538648,38.9260043408443,27.0065068064877,1,5633,5524,109,101865,3939,1694,17,81,0,10,7,0,0,0,0
2022-05-03,1,2,2,2,9.45893242535411,38.7426185108154,26.8554065334593,1,4999,4816,183,101500,3861,1138,19,95,0,12,7,0,0,0,0
2022-05-04,2,2,3,2,4.34375993722428,36.8471903460521,26.928350667147,1,4367,4266,101,104900,4037,330,18,82,0,11,7,0,0,0,0
2022-05-05,3,0,4,2,1.51840566132638,38.1644284542248,27.2742746901391,1,5311,5097,214,99090,3948,1363,17,85,0,10,8,0,0,0,0
2022-05-06,4,0,5,2,0.127344542704986,39.3939105064796,26.8120089984771,1,5507,5400,107,108550,4333,1174,18,83,0,12,6,0,0,0,0
2022-05-07,5,0,6,2,0.0179750903620954,38.8913574712366,26.584191142916,1,4902,4782,120,89330,3502,1400,15,73,0,10,5,0,0,0,0
2022-05-08,6,0,7,2,2.33355912491057,37.5647554992133,27.4499763116309,1,5511,5344,167,109945,4250,1261,17,86,0,12,5,0,0,0,0
2022-05-09,0,0,8,2,0.204235353250482,38.6309573979548,26.6633067472115,1,5962,5850,112,115970,4664,1298,20,90,0,14,6,0,0,0,0
2022-05-10,1,0,9,2,1.50267297893673,37.9082372012629,26.7749496848792,1,4620,4523,97,93225,3760,860,15,78,0,10,5,0,0,0,0
2022-05-11,2,0,10,2,134.450831817126,31.0140529106981,25.4235204187967,1,4572,4492,80,95720,3874,698,16,80,0,11,5,0,0,0,0
2022-05-12,3,0,11,2,22.1450266865484,33.5397791888967,24.9154814502594,1,5564,5472,92,109797,4410,1153,18,89,0,13,5,0,0,0,0
2022-05-13,4,0,12,2,0.875145673565251,36.4928216643085,24.8492070858697,1,4349,4262,87,81829,3407,939,14,65,0,11,3,0,0,0,0
2022-05-14,5,3,13,2,2.71041391722147,38.449770869216,26.0865824992038,1,4795,4700,95,90551,3513,1280,15,71,0,9,6,0,0,0,0
2022-05-15,6,3,14,2,2.71319394116939,38.5865102909497,27.0978031688419,1,5363,5212,151,103840,3914,1449,14,73,0,10,4,0,0,0,0
2022-05-16,0,3,15,2,1.54590062123955,37.7120413273798,26.7158724399438,1,5524,5432,92,107578,4327,1196,17,82,0,12,5,0,0,0,0
2022-05-17,1,0,16,2,24.4535767093514,36.1391579873969,26.7792628263879,1,4783,4655,128,89155,3606,1177,16,80,0,11,5,0,0,0,0
2022-05-18,2,0,17,2,4.04011074297585,35.2401215551301,26.4382562183131,1,4374,4272,102,98180,3944,430,16,79,0,11,5,0,0,0,0
2022-05-19,3,0,18,2,50.3456262963493,34.3159899645903,25.9342097124634,1,4544,4438,106,100070,3796,747,17,86,0,12,5,0,0,0,0
2022-05-20,4,0,19,2,25.9568506123096,34.4143904707554,25.4206645301615,1,4367,4288,79,87990,3512,855,15,71,0,12,3,0,0,0,0
2022-05-21,5,0,20,2,3.68770983166063,36.216350197849,25.6809770520625,1,2863,2811,52,62135,2365,498,11,49,0,9,2,0,0,0,0
2022-05-22,6,0,21,2,0.133360292895671,37.1143259249129,26.5703431879086,1,5024,4884,140,117510,4215,809,18,71,0,12,6,0,0,0,0
2022-05-23,0,0,22,2,0.0226944816311051,37.5213290264322,26.9463810556159,1,3927,3796,131,66785,2779,1148,13,65,0,11,2,0,0,0,0
2022-05-24,1,0,23,2,0.537401229231376,37.8496450552604,27.6059600863426,1,2245,2175,70,41225,1717,528,10,44,0,8,2,0,0,0,0
2022-05-25,2,0,24,2,0.572927473143553,37.3808083865652,28.1227087364084,1,5248,5150,98,115020,4380,868,17,79,0,10,7,0,0,0,0
2022-05-26,3,0,25,2,15.8166742212622,38.0516474157863,26.9336377704401,1,3839,3779,60,69910,2720,1119,13,57,0,8,5,0,0,0,0
2022-05-27,4,0,26,2,3.69630455624719,37.2789964890143,26.5359237824607,1,5719,5617,102,107052,4355,1363,18,104,0,13,5,0,0,0,0
2022-05-28,5,0,27,2,0.168842567605718,38.4426351316394,27.5240420004514,1,5590,5504,86,102430,3994,1596,19,98,0,11,9,0,0,0,0
2022-05-29,6,0,28,2,0.224217493659658,38.7525783050958,28.2357624314608,1,4453,4319,134,89070,3528,925,15,77,0,11,4,0,0,0,0
2022-05-30,0,0,0,2,0.480344277276198,38.7230338980746,28.7698846767349,1,5494,5407,87,99895,4042,1452,18,93,0,12,6,0,0,0,0
2022-05-31,1,0,1,2,14.2530147810025,38.5188108417517,28.1268623093502,1,4806,4713,93,95332,3935,870,16,80,0,13,3,0,0,0,0
2022-06-01,2,0,2,0,6.9765167114454,37.7988940996419,27.6939184360699,1,4706,4628,78,92945,3791,915,19,80,0,14,5,0,0,0,0
2022-06-02,3,0,3,0,2.50926242772322,39.660665623163,28.8465698906424,1,5847,5738,109,106895,4381,1466,18,95,0,14,4,0,0,0,0
2022-06-03,4,0,4,0,1.19327364196689,39.6845319088756,28.6745090142007,1,6478,5770,708,91865,3800,2678,16,83,0,12,4,0,0,0,0
2022-06-04,5,0,5,2,0.18339913141971,40.520281032607,29.1651115831078,1,5914,5796,118,107600,4390,1524,17,88,0,13,4,0,0,0,0
2022-06-05,6,0,6,2,2.47218033157289,40.8529593406476,28.8417880418893,1,4886,4774,112,89785,3461,1425,13,67,0,10,3,0,0,0,0
2022-06-06,0,0,7,0,8.96963185574406,39.0364203110338,28.778510170775,2,5866,5761,105,112750,4596,1270,18,93,0,14,4,0,0,0,0
2022-06-07,1,0,8,0,5.89173167353921,39.894182727531,28.6261571164928,2,6124,6011,113,115010,4804,1320,17,91,0,13,4,0,0,0,0
2022-06-08,2,0,9,0,3.301679148038,38.8219147112601,27.7088642670414,2,4706,4614,92,98780,3849,857,16,84,0,12,4,0,0,0,0
2022-06-09,3,0,10,0,19.9736750681791,38.2661486124766,27.5765964047152,2,5688,5603,85,102665,4123,1565,17,86,0,13,4,0,0,0,0
2022-06-10,4,0,11,0,14.314244540526,37.2140239000991,27.5894432348815,2,6426,6323,103,113888,4696,1729,17,90,0,13,4,0,0,0,0
2022-06-11,5,0,12,2,8.55722535784224,35.5741824831732,27.1311961233227,2,7835,7685,150,138030,5678,2157,17,98,0,13,4,0,0,0,0
2022-06-12,6,0,13,2,27.5553147094928,35.1442788837876,26.5500715153951,2,6687,6504,183,138130,5142,1545,16,81,0,12,4,0,0,0,0
2022-06-13,0,0,14,0,12.2369944935856,34.5808805425859,25.3014342904897,2,6305,6217,88,121490,4950,1355,18,94,0,14,4,0,0,0,0
2022-06-14,1,0,15,0,26.4818577158583,35.6556760037642,25.0503977087797,2,5551,5458,93,114780,4647,904,17,93,0,14,3,0,0,0,0
2022-06-15,2,0,16,0,64.1546671790215,33.6676667967697,24.7208407200878,2,4706,4644,62,95575,3817,889,16,85,0,12,4,0,0,0,0
2022-06-16,3,0,17,0,47.6059555952379,31.9097405882992,24.2604236670906,2,5827,5723,104,118495,4756,1071,18,94,0,14,4,0,0,0,0
2022-06-17,4,0,18,0,13.0250275045662,33.5373241027853,24.8014557273477,2,4343,4280,63,89150,3666,677,15,77,0,12,3,0,0,0,0
2022-06-18,5,0,19,2,14.8123431640045,33.2575325900555,25.444695105768,2,5428,5332,96,103185,4128,1300,14,75,0,11,3,0,0,0,0
